date,location,location_type,location_code,location_code_type,data_type,value
2020-12-20,Alabama,state,01,fips_code,cases_total,322452
2020-12-20,Alabama,state,01,fips_code,deaths_total,4389
2020-12-20,Alaska,state,02,fips_code,cases_total,43649
2020-12-20,Alaska,state,02,fips_code,deaths_total,176
2020-12-20,Arizona,state,04,fips_code,cases_total,453601
2020-12-20,Arizona,state,04,fips_code,deaths_total,7971
2020-12-20,Arkansas,state,05,fips_code,cases_total,201650
2020-12-20,Arkansas,state,05,fips_code,deaths_total,3237
2020-12-20,California,state,06,fips_code,cases_total,1889675
2020-12-20,California,state,06,fips_code,deaths_total,22736
2020-12-20,Colorado,state,08,fips_code,cases_total,310522
2020-12-20,Colorado,state,08,fips_code,deaths_total,4420
2020-12-20,Connecticut,state,09,fips_code,cases_total,162782
2020-12-20,Connecticut,state,09,fips_code,deaths_total,5581
2020-12-20,Delaware,state,10,fips_code,cases_total,50616
2020-12-20,Delaware,state,10,fips_code,deaths_total,862
2020-12-20,District of Columbia,state,11,fips_code,cases_total,26601
2020-12-20,District of Columbia,state,11,fips_code,deaths_total,737
2020-12-20,Florida,state,12,fips_code,cases_total,1201558
2020-12-20,Florida,state,12,fips_code,deaths_total,20567
2020-12-20,Georgia,state,13,fips_code,cases_total,567654
2020-12-20,Georgia,state,13,fips_code,deaths_total,10056
2020-12-20,Guam,state,66,fips_code,cases_total,8171
2020-12-20,Guam,state,66,fips_code,deaths_total,120
2020-12-20,Hawaii,state,15,fips_code,cases_total,20291
2020-12-20,Hawaii,state,15,fips_code,deaths_total,280
2020-12-20,Idaho,state,16,fips_code,cases_total,130039
2020-12-20,Idaho,state,16,fips_code,deaths_total,1284
2020-12-20,Illinois,state,17,fips_code,cases_total,901924
2020-12-20,Illinois,state,17,fips_code,deaths_total,16407
2020-12-20,Indiana,state,18,fips_code,cases_total,467258
2020-12-20,Indiana,state,18,fips_code,deaths_total,7404
2020-12-20,Iowa,state,19,fips_code,cases_total,267329
2020-12-20,Iowa,state,19,fips_code,deaths_total,3589
2020-12-20,Kansas,state,20,fips_code,cases_total,203674
2020-12-20,Kansas,state,20,fips_code,deaths_total,2341
2020-12-20,Kentucky,state,21,fips_code,cases_total,244784
2020-12-20,Kentucky,state,21,fips_code,deaths_total,2665
2020-12-20,Louisiana,state,22,fips_code,cases_total,286145
2020-12-20,Louisiana,state,22,fips_code,deaths_total,7042
2020-12-20,Maine,state,23,fips_code,cases_total,18946
2020-12-20,Maine,state,23,fips_code,deaths_total,292
2020-12-20,Maryland,state,24,fips_code,cases_total,251069
2020-12-20,Maryland,state,24,fips_code,deaths_total,5448
2020-12-20,Massachusetts,state,25,fips_code,cases_total,323531
2020-12-20,Massachusetts,state,25,fips_code,deaths_total,11717
2020-12-20,Michigan,state,26,fips_code,cases_total,495458
2020-12-20,Michigan,state,26,fips_code,deaths_total,12066
2020-12-20,Minnesota,state,27,fips_code,cases_total,397378
2020-12-20,Minnesota,state,27,fips_code,deaths_total,4909
2020-12-20,Mississippi,state,28,fips_code,cases_total,194333
2020-12-20,Mississippi,state,28,fips_code,deaths_total,4409
2020-12-20,Missouri,state,29,fips_code,cases_total,386259
2020-12-20,Missouri,state,29,fips_code,deaths_total,5262
2020-12-20,Montana,state,30,fips_code,cases_total,77170
2020-12-20,Montana,state,30,fips_code,deaths_total,865
2020-12-20,Nebraska,state,31,fips_code,cases_total,156513
2020-12-20,Nebraska,state,31,fips_code,deaths_total,1505
2020-12-20,Nevada,state,32,fips_code,cases_total,204227
2020-12-20,Nevada,state,32,fips_code,deaths_total,2786
2020-12-20,New Hampshire,state,33,fips_code,cases_total,36542
2020-12-20,New Hampshire,state,33,fips_code,deaths_total,656
2020-12-20,New Jersey,state,34,fips_code,cases_total,434500
2020-12-20,New Jersey,state,34,fips_code,deaths_total,18194
2020-12-20,New Mexico,state,35,fips_code,cases_total,129993
2020-12-20,New Mexico,state,35,fips_code,deaths_total,2171
2020-12-20,New York,state,36,fips_code,cases_total,851400
2020-12-20,New York,state,36,fips_code,deaths_total,36017
2020-12-20,North Carolina,state,37,fips_code,cases_total,479875
2020-12-20,North Carolina,state,37,fips_code,deaths_total,6259
2020-12-20,North Dakota,state,38,fips_code,cases_total,90045
2020-12-20,North Dakota,state,38,fips_code,deaths_total,1237
2020-12-20,Northern Mariana Islands,state,69,fips_code,cases_total,115
2020-12-20,Northern Mariana Islands,state,69,fips_code,deaths_total,2
2020-12-20,Ohio,state,39,fips_code,cases_total,622806
2020-12-20,Ohio,state,39,fips_code,deaths_total,8047
2020-12-20,Oklahoma,state,40,fips_code,cases_total,260838
2020-12-20,Oklahoma,state,40,fips_code,deaths_total,2212
2020-12-20,Oregon,state,41,fips_code,cases_total,102930
2020-12-20,Oregon,state,41,fips_code,deaths_total,1341
2020-12-20,Pennsylvania,state,42,fips_code,cases_total,560002
2020-12-20,Pennsylvania,state,42,fips_code,deaths_total,13964
2020-12-20,Puerto Rico,state,72,fips_code,cases_total,102048
2020-12-20,Puerto Rico,state,72,fips_code,deaths_total,1368
